Région,Code région,Code département,code_commune,nom_commune,zone_montagne,est_zone_vulnerable,est_zar,zone_ouest,zone_sud,zone_est,Dernière mise à jour,Dernière mise à jour par
BOURGOGNE FRANCHE COMTE,27,25,25496,ROCHE LES CLERVAL,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25497,ROCHES LES BLAMONT,NC,C,NC,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25498,ROGNON,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25499,ROMAIN,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25500,RONCHAUX,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25501,RONDEFONTAINE,C,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25502,ROSET FLUANS,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25503,ROSIERES SUR BARBECHE,C,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25504,ROSUREUX,C,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25505,ROUGEMONT,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25506,ROUGEMONTOT,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25507,ROUHE,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25508,ROULANS,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25510,RUFFEY LE CHATEAU,NC,C,NC,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25511,RUREY,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25512,RUSSEY,C,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25513,SAINTE ANNE,C,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25514,SAINT ANTOINE,C,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25515,SAINTE COLOMBE,C,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25516,SAINT GEORGES ARMONT,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25517,SAINT GORGON MAIN,C,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25518,SAINT HILAIRE,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25519,SAINT HIPPOLYTE,C,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25520,SAINT JUAN,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25521,SAINT JULIEN LES MONTBELIARD,NC,C,NC,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25522,SAINT JULIEN LES RUSSEY,C,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25523,SAINTE MARIE,NC,C,NC,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25524,SAINT MAURICE COLOMBIER,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25525,SAINT POINT LAC,C,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25526,SAINTE SUZANNE,NC,C,NC,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25527,SAINT VIT,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25528,SAMSON,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25529,SANCEY,C,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25532,SAONE,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25533,SARAZ,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25534,SARRAGEOIS,C,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25535,SAULES,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25536,SAUVAGNEY,NC,C,NC,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25537,SCEY MAISIERES,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25538,SECHIN,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25539,SELONCOURT,NC,C,NC,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25540,SEMONDANS,NC,C,NC,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25541,SEPTFONTAINES,C,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25542,SERRE LES SAPINS,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25544,SERVIN,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25545,SILLEY AMANCEY,C,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25546,SILLEY BLEFOND,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25547,SOCHAUX,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25548,SOLEMONT,C,,,,,,2025-05-21 6:30pm,ambroise.coulomb
BOURGOGNE FRANCHE COMTE,27,25,25550,SOMMETTE,C,,,,,,2025-05-21 6:30pm,ambroise.coulomb
